project_name,description,icon_filename,startup_script,scheme,port,host
beszel,"Lightweight server monitoring hub with historical data, docker stats, and alerts.",logo.png,start.sh,http,8090,100.94.150.11
coder,VS Code in the browser,logo.png,start_coder.sh,http,1133,100.94.150.11
planka,The realtime kanban board for workgroups built with React and Redux.,planka.png,start_planka.sh,http,3363,100.94.150.11
age-viewer,Graph database optimized for fast analysis and real-time data processing. It is provided as an extension to PostgreSQL,frontend/public/resources/images/agedb-favicon.ico.png,start.sh,http,3312,100.94.150.11
mattermost,Mattermost is an open source platform for secure collaboration across the entire software development lifecycle..,client/icon_192x192.png,start.sh,http,1065,100.94.150.11
portainer,Making Docker and Kubernetes management easy.,logo.png,start.sh,http,2772,100.94.150.11
syncthing,Open Source Continuous File Synchronization,logo.png,start.sh,http,8384,100.94.150.11
n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",logo.png,start.sh,http,5678,100.94.150.11
directus,"The flexible backend for all your projects 🐰 Turn your DB into a headless CMS, admin panels, or apps with a custom UI, instant APIs, auth & more.",logo.png,start.sh,http,8055,100.94.150.11
novnc,VNC client web application,logo.png,start.sh,http,6081,100.94.150.11
nocobase,"NocoBase is an extensibility-first, open-source no-code development platform.",packages/core/app/dist/client/favicon/favicon.ico,start.sh,http,13000,100.94.150.11
nocodb,🔥 🔥 🔥 Open Source Airtable Alternative,logo.png,start.sh,http,6220,100.94.150.11
cockpit,Cockpit is a web-based graphical interface for servers.,logo.png,start.sh,http,9090,100.94.150.11
pyload,The free and open-source Download Manager written in pure Python,icon.png,start.sh,http,8749,100.94.150.11
jitsi,"Jitsi Meet - Secure, Simple and Scalable Video Conferences that you use as a standalone app or embed in your web application.",static/pwa/icons/icon512.png,start.sh,https,6724,100.94.150.11
koel,🐦 A personal music streaming server that works.,logo.png,start.sh,http,3883,100.94.150.11
jupyter,Jupyter Interactive Notebook,jupyter.svg,start_jupyter.sh,http,9742,100.94.150.11
neo4j,Graphs for Everyone,logo.png,start.sh,http,7474,100.94.150.11
focalboard,"Focalboard is an open source, self-hosted alternative to Trello, Notion, and Asana.",webapp/static/favicon.svg,start.sh,http,2219,100.94.150.11
jellyfin,The Free Software Media System - Server Backend & API,jellyfin-web/assets/img/icon-transparent.png,start.sh,http,8095,100.94.150.11
nextcloud,"☁️ Nextcloud server, a safe home for all your data",core/img/logo/logo.svg,start.sh,http,8228,100.94.150.11
gitea,Git with a cup of tea! Painless self-hosted all-in-one software development service.,logo.svg,gitea,http,8956,100.94.150.11
gogs,Gogs is a painless self-hosted Git service,favicon.png,start.sh,http,8962,100.94.150.11
pocketbase,Open Source realtime backend in 1 file,logo.png,start.sh,http,6935,100.94.150.11
minIO,"MinIO is a high-performance, S3 compatible object store, open sourced under GNU AGPLv3 license.",minio-1.svg,start_minio.sh,http,9099,100.94.150.11
superset,Apache Superset is a Data Visualization and Data Exploration Platform,superset.ico,start_superset.sh,http,6996,100.94.150.11
metabase,"The simplest, fastest way to get business intelligence and analytics to everyone in your company",metabase.svg,start_metabase.sh,http,9870,100.94.150.11
